Method,Iteration,Number of Swaps,Nestedness
CM,Null iteration 536,235560,58.79736843975216
CM,Null iteration 537,235560,58.77329045969687
CM,Null iteration 538,235560,58.78147166323916
CM,Null iteration 539,235560,58.76966372102374
CM,Null iteration 540,235560,58.805812397800906
CM,Null iteration 541,235560,58.7616620565679
CM,Null iteration 542,235560,58.72654012543332
CM,Null iteration 543,235560,58.83924157169442
CM,Null iteration 544,235560,58.78925334439711
CM,Null iteration 545,235560,58.82162113766766
CM,Null iteration 546,235560,58.7698228777858
CM,Null iteration 547,235560,58.82767187442312
CM,Null iteration 548,235560,58.80751716743828
CM,Null iteration 549,235560,58.816637713629206
CM,Null iteration 550,235560,58.78915685619251
CM,Null iteration 551,235560,58.87654742280422
CM,Null iteration 552,235560,58.84052538898702
CM,Null iteration 553,235560,58.77843017447405
CM,Null iteration 554,235560,58.7679598009225
CM,Null iteration 555,235560,58.795377543959574
CM,Null iteration 556,235560,58.87897196861618
CM,Null iteration 557,235560,58.877376090051705
CM,Null iteration 558,235560,58.774669464637626
CM,Null iteration 559,235560,58.76216708054532
CM,Null iteration 560,235560,58.760715553107616
CM,Null iteration 561,235560,58.76405960512405
CM,Null iteration 562,235560,58.85271084885399
CM,Null iteration 563,235560,58.79757597112446
CM,Null iteration 564,235560,58.860833851888515
CM,Null iteration 565,235560,58.77168297040974
CM,Null iteration 566,235560,58.81635765929494
CM,Null iteration 567,235560,58.74638818616609
CM,Null iteration 568,235560,58.791295543670316
CM,Null iteration 569,235560,58.78519758233725
CM,Null iteration 570,235560,58.76209177075722
CM,Null iteration 571,235560,58.839687249569494
CM,Null iteration 572,235560,58.77642025044979
CM,Null iteration 573,235560,58.759410027644336
CM,Null iteration 574,235560,58.829783626161394
CM,Null iteration 575,235560,58.815388953124
CM,Null iteration 576,235560,58.83866045669775
CM,Null iteration 577,235560,58.82828217964064
CM,Null iteration 578,235560,58.74387077061314
CM,Null iteration 579,235560,58.79768632954127
CM,Null iteration 580,235560,58.79906579295158
CM,Null iteration 581,235560,58.80623688376368
CM,Null iteration 582,235560,58.80389322756177
CM,Null iteration 583,235560,58.79129201576238
CM,Null iteration 584,235560,58.781538982695864
CM,Null iteration 585,235560,58.761895026236296
CM,Null iteration 586,235560,58.803095103989975
CM,Null iteration 587,235560,58.82861213146067
CM,Null iteration 588,235560,58.76364744433127
CM,Null iteration 589,235560,58.80736565309205
CM,Null iteration 590,235560,58.759125077113026
CM,Null iteration 591,235560,58.813833065630206
CM,Null iteration 592,235560,58.78936311618857
CM,Null iteration 593,235560,58.74344184780283
CM,Null iteration 594,235560,58.863871596213365
CM,Null iteration 595,235560,58.835923193591725
CM,Null iteration 596,235560,58.76271888356768
CM,Null iteration 597,235560,58.76925735559262
CM,Null iteration 598,235560,58.835261147625005
CM,Null iteration 599,235560,58.76065560585495
CM,Null iteration 600,235560,58.802806431862635
CM,Null iteration 601,235560,58.792186502326985
CM,Null iteration 602,235560,58.820445689753
CM,Null iteration 603,235560,58.79684395009524
CM,Null iteration 604,235560,58.83969744847333
CM,Null iteration 605,235560,58.82886006909584
CM,Null iteration 606,235560,58.833438370487364
CM,Null iteration 607,235560,58.771062666120855
CM,Null iteration 608,235560,58.831187469663696
CM,Null iteration 609,235560,58.80437822982087
CM,Null iteration 610,235560,58.830695390643754
CM,Null iteration 611,235560,58.8165132771776
CM,Null iteration 612,235560,58.829829701110135
CM,Null iteration 613,235560,58.78018374253074
CM,Null iteration 614,235560,58.83063205169836
CM,Null iteration 615,235560,58.78192600451359
CM,Null iteration 616,235560,58.76566412572985
CM,Null iteration 617,235560,58.83526628055806
CM,Null iteration 618,235560,58.78279814618128
CM,Null iteration 619,235560,58.767205850776364
CM,Null iteration 620,235560,58.765182655682636
CM,Null iteration 621,235560,58.85308271299329
CM,Null iteration 622,235560,58.81187955174375
CM,Null iteration 623,235560,58.758443973763974
CM,Null iteration 624,235560,58.792121646129495
CM,Null iteration 625,235560,58.75473168759581
CM,Null iteration 626,235560,58.72591558540728
CM,Null iteration 627,235560,58.81670852016406
CM,Null iteration 628,235560,58.80531023228105
CM,Null iteration 629,235560,58.75929659710598
