Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_208748.fasta,0.014634042489037708,7.28973056158399e-06,0.49830917874396136
SM,235560,Contig_501406.fasta,0.01443953886612343,7.356698658701787e-06,0.49903241412675375
SM,235560,Contig_306807.fasta,0.01590769628564666,8.781286130512458e-06,0.49830917874396136
SM,235560,Contig_57808.fasta,0.011782917205114124,4.889975647506897e-06,0.496390760346487
SM,235560,Contig_930639.fasta,0.0065756055867014895,1.3289645996568822e-06,0.47381717960496095
SM,235560,Contig_422.fasta,0.01863901807716299,1.215976935914778e-05,0.5002424830261881
SM,235560,Contig_545369.fasta,0.01708658958406121,1.0489371660950143e-05,0.49951573849878933
SM,235560,Contig_502018.fasta,0.01859832533677271,1.215722137432228e-05,0.5
SM,235560,Contig_1066920.fasta,0.014753106632392187,7.276479370101918e-06,0.49879110251450676
SM,235560,Contig_988550.fasta,0.011814663814930994,4.877128705328344e-06,0.49591346153846155
SM,235560,Contig_498319.fasta,0.018509207445422306,1.2331800347106468e-05,0.5002424830261881
SM,235560,Contig_1062135.fasta,0.011866665804147676,4.877554665679211e-06,0.49591346153846155
SM,235560,Contig_139106.fasta,0.017224597736648983,1.0270880081436721e-05,0.49951573849878933
SM,235560,Contig_424026.fasta,0.014507911313726139,7.522114298552248e-06,0.49951573849878933
SM,235560,Contig_985597.fasta,0.01995007586403674,1.4010242693494873e-05,0.5004852013585638
SM,235560,Contig_369895.fasta,0.013315778168646457,6.063767993981508e-06,0.49782818532818535
SM,235560,Contig_53489.fasta,0.010628956179303387,3.7825801609585724e-06,0.49543707973102785
SM,235560,Contig_60880.fasta,0.019874993371309938,1.4034963909981918e-05,0.5004852013585638
SM,235560,Contig_368093.fasta,0.011886313847592653,4.804053147799555e-06,0.4961519961519962
SM,235560,Contig_499241.fasta,0.013231626589688524,6.021003518502813e-06,0.49806856591018833
SM,235560,Contig_989061.fasta,0.014525240239152339,7.348288507860954e-06,0.49806856591018833
SM,235560,Contig_55164.fasta,0.013200535551792798,6.029309531785638e-06,0.49855002416626387
SM,235560,Contig_24573733.fasta,0.014454020432469537,7.300697794069648e-06,0.49806856591018833
SM,235560,Contig_498628.fasta,0.01181411824488519,4.841151114605321e-06,0.496868978805395
SM,235560,Contig_3643.fasta,0.01579769264352142,8.857742714164072e-06,0.49927395934172314
SM,235560,Contig_987659.fasta,0.01580111867775099,8.816035711539693e-06,0.49855002416626387
SM,235560,Contig_53431.fasta,0.014555803609320518,7.4738241777108235e-06,0.49903241412675375
SM,235560,Contig_426051.fasta,0.015910581886510268,8.954686711811651e-06,0.49951573849878933
SM,235560,Contig_500137.fasta,0.015953404672396358,8.7517506219168e-06,0.49903241412675375
SM,235560,Contig_369743.fasta,0.011862867569382058,4.819041884732459e-06,0.49591346153846155
SM,235560,Contig_502690.fasta,0.013171378162094712,6.191646402924055e-06,0.49903241412675375
SM,235560,Contig_802918.fasta,0.010620765182863182,3.714396740165765e-06,0.4940134099616858
SM,235560,Contig_544175.fasta,0.013374745596267928,6.0540316418368794e-06,0.49782818532818535
SM,235560,Contig_53359.fasta,0.018428483962670453,1.2522171403113988e-05,0.5
SM,235560,Contig_306575.fasta,0.017111822921476248,1.0699346347573414e-05,0.5
SM,235560,Contig_542420.fasta,0.018517620812813256,1.218442147740519e-05,0.5
SM,235560,Contig_368743.fasta,0.01045899565921603,3.852433425195124e-06,0.49448705656759345
SM,235560,Contig_499105.fasta,0.014447704768458467,7.572713382338541e-06,0.49806856591018833
SM,235560,Contig_542465.fasta,0.015984232990171234,8.715579252518968e-06,0.49927395934172314
SM,235560,Contig_548646.fasta,0.018557008436142174,1.2271113433307321e-05,0.5002424830261881
SM,235560,Contig_58939.fasta,0.010569675202182606,3.776786238046554e-06,0.49306883365200765
SM,235560,Contig_621909.fasta,0.015908088272736123,8.819899601490683e-06,0.49927395934172314
SM,235560,Contig_53922.fasta,0.017200341149673185,1.0652225480233747e-05,0.4997577519379845
SM,235560,Contig_132024.fasta,0.014387423165181958,7.517119314868327e-06,0.49927395934172314
SM,235560,Contig_1063498.fasta,0.021201912539578763,1.6099971989673017e-05,0.5007281553398059
SM,235560,Contig_551384.fasta,0.019751893728829642,1.4122042656842707e-05,0.5004852013585638
SM,235560,Contig_132061.fasta,0.017150521183403766,1.050772514085223e-05,0.5
SM,235560,Contig_543135.fasta,0.011959203881256653,4.74397583686085e-06,0.49519923187710035
SM,235560,Contig_1064559.fasta,0.017097453870917646,1.0605057000742367e-05,0.4997577519379845
SM,235560,Contig_368256.fasta,0.015872935045093125,8.952452273999995e-06,0.49951573849878933
SM,235560,Contig_306060.fasta,0.005276961680680579,8.046800181064021e-07,0.45601237842617154
SM,235560,Contig_58286.fasta,0.011895542332578024,4.825080114483799e-06,0.4956751561749159
SM,235560,Contig_57092.fasta,0.014585448934236144,7.356672934673036e-06,0.49927395934172314
SM,235560,Contig_420355.fasta,0.018459565751671004,1.2522517597430661e-05,0.5002424830261881
SM,235560,Contig_420310.fasta,0.01582785723116472,8.911538999369277e-06,0.49951573849878933
SM,235560,Contig_139456.fasta,0.013223203888967604,6.08287270345748e-06,0.49782818532818535
